"Source:","/home/greg/Projects/sapphire-captain/pcb/hb-bob-r0.1/hb-bob-r0.1.kicad_sch"
"Date:","Wed 31 Jan 2024 09:11:37"
"Tool:","Eeschema 7.0.7"
"Generator:","/usr/share/kicad-nightly/plugins/bom_csv_grouped_by_value.py"
"Component Count:","43"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","MFG","PN"
"1","5","C1, C3, C6, C10, C11","0.1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","CC0402KRX7R9BB104"
"2","1","C2","220uF","Device:C_Polarized_US","Capacitor_SMD:CP_Elec_6.3x7.7","~","","KNSCHA","RST220UF25V019"
"3","2","C4, C7","1uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","CC0402KRX5R8BB105"
"4","1","C5","10uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","CC0402MRX5R6BB106"
"5","2","C8, C9","2.2uF","Device:C","Capacitor_SMD:C_0402_1005Metric","~","","","CC0402KRX5R6BB225"
"6","1","D1","ORANGE","Device:LED_Filled","LED_SMD:LED_0402_1005Metric","~","","Foshan NationStar Optoelectronics","NCD0402O1"
"7","1","D2","RED","Device:LED_Filled","LED_SMD:LED_0402_1005Metric","~","","Foshan NationStar Optoelectronics","NCD0402R1"
"8","2","D3, D9","GREEN","Device:LED_Filled","LED_SMD:LED_0402_1005Metric","~","","Foshan NationStar Optoelectronics","NCD0402C1"
"9","2","D4, D8","BAT54S","Diode:BAT54S","Package_TO_SOT_SMD:SOT-23","https://www.diodes.com/assets/Datasheets/ds11005.pdf","","",""
"10","1","D5","24V","Device:D_TVS_Filled","Diode_SMD:D_SOD-123F","~","","FUXINSEMI","PTVS24VS1UR"
"11","2","D6, D7","5.6V","Device:D_TVS_Filled","Diode_SMD:D_SOD-923","~","","BORN","BSD9C051V"
"12","1","J2","PinHeader 1x02","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"13","1","J3","Terminal Block 2P","Connector:Conn_01x02_Female","Connector_Phoenix_MC:PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal","~","","",""
"14","1","J4","PH_01x05","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","",""
"15","6","R1, R4, R5, R8, R10, R16","20K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"16","1","R2","62k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"17","1","R3","0R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"18","1","R6","27K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"19","1","R7","4.3K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"20","1","R9","180k","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"21","1","R11","82R","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"22","1","R12","1K","Device:R","Resistor_SMD:R_0402_1005Metric","~","","",""
"23","1","R13","1R","Device:R","Resistor_SMD:R_0805_2012Metric","~","","",""
"24","2","R14, R15","4.7R","Device:R","Resistor_SMD:R_0603_1608Metric","~","","",""
"25","1","U1","74LVC2G14DW-7","74xGxx:74LVC2G14","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.ti.com/lit/ds/symlink/sn74lvc2g14.pdf","","",""
"26","1","U2","MAX22088","Custom_Components:MAX22088","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","","","",""
"27","2","U3, U4","CA-IS3720","Isolator:ADuM1200WU","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","https://datasheet.lcsc.com/lcsc/2304140030_Chipanalog-CA-IS3721HS_C428884.pdf","","",""
